uni,pendolari/totale
Macerata,50.10820168794633
Castellanza LIUC,44.986553976181334
Padova,44.94402841040686
Enna KORE,44.001741780971045
Molise,43.99872143199616
Catanzaro,43.015562389339294
Insubria,41.61192969998225
Piemonte Orientale,40.813286661205034
L'Aquila,40.16182892370922
Sannio,39.034852546916895
Camerino,38.869897446209535
Ca' Foscari Venezia,37.833046297234326
Verona,37.68859784965267
Pisa,37.56636329161927
Bergamo,36.15420780441937
Venezia Iuav,36.09022556390977
Milano Bicocca,35.114994593646806
Tuscia,35.02714743143534
Firenze,35.0103684179926
Salerno,34.61935092508341
Udine,33.780470214914175
Siena Stranieri,33.53490929081913
Catania,33.267135419462186
Chieti e Pescara,33.22818086225026
Modena e Reggio Emilia,33.055124995031996
Cassino,33.03017179154035
Pavia,32.48514595711703
Bra Scienze Gastronomiche,32.37704918032787
Basilicata,32.36953455571227
Napoli L'Orientale,31.772234072150606
Bari Politecnico,31.432088633565858
Bari,31.23166052215785
Trento,31.16092251878725
Palermo,30.585119307965204
Milano,29.051175379680217
Napoli Benincasa,28.904953780516713
Parma,28.680777661982965
Napoli Vanvitelli,28.173904991202892
Teramo,28.166311300639656
Cagliari,28.098317168200282
Salento,28.06978052898143
Siena,27.443995341508533
Ferrara,27.053525168387072
Urbino,26.009657594381036
Napoli Federico II,23.765032886589427
Milano Politecnico,23.232910955952075
Casamassima - G.Degennaro,23.122142390594384
Marche,22.89423008344626
Aosta,22.884386174016687
Genova,22.839729863284468
Calabria,22.56797583081571
Foggia,22.27905416736542
Milano IULM,22.12516110554203
Milano Cattolica,21.294706189800642
Brescia,20.699788150071754
Torino,20.354698845531
Sassari,18.935342732134174
Bolzano,18.569087930092845
Perugia,18.34539259599556
Bologna,16.028922525442248
Roma LUMSA,15.397703105061675
Milano San Raffaele,15.101923629055412
Napoli Parthenope,14.802601447284053
Trieste,14.454180117267276
Roma La Sapienza,14.034193840579709
Roma Tor Vergata,13.546825544591323
Messina,13.158819395643008
Rozzano (MI) Humanitas University,12.864622288706059
Torino Politecnico,12.44443109455725
Roma Foro Italico,11.784675072744907
Roma UNINT,11.724608043626448
Roma Tre,11.094359411359838
Reggio Calabria,9.401893287435456
Milano Bocconi,9.167789253105822
Roma Europea,7.995558023320378
Roma Biomedico,7.21370604147881
Roma Link Campus,6.918238993710692
Perugia Stranieri,6.917475728155339
Roma LUISS,6.312224160936057
Roma Saint Camillus,3.8053649407361196
Reggio Calabria - Dante Alighieri,0.0
