Regione,2014,2015,2016,2017,2018,2019,2020,2021
Calabria,30.92751842751843,33.84864546525324,33.14655172413793,30.157379838366655,33.64188602834828,34.45966061327776,34.201568743525236,34.48120300751879
Sicilia,15.888320617087281,17.782558035314153,16.45251396648045,16.819571865443425,17.760544732362398,17.914970173279045,15.509523391556218,15.61892989581494
Veneto,11.191372469223726,12.124920456214205,11.22173232826056,10.967333273006968,11.138710942606876,10.19517313746065,9.601974457415968,8.08119361554476
Friuli-Venezia Giulia,11.055620838229533,11.840157868771584,11.966064910723095,9.037957479856324,10.55645700104992,10.401132609721566,10.871551251598758,9.949319818618298
Molise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abruzzo,2.083333333333333,2.2885335552517385,2.3734664940509216,4.059229001787082,3.291270976974112,2.7579946934785644,2.753715050355659,2.3457235654998194
Piemonte,9.750584876482018,8.849079046966803,8.078379713485921,7.492055732094842,6.999564523152853,6.767167322507343,6.678518361282106,6.419445310065441
Lombardia,11.629452035009678,12.492435863155968,12.448434845911187,11.851851851851853,11.934698095566162,11.362804698105412,10.670375205767156,10.17880649407635
Lazio,6.209190286371085,6.538715075300441,6.659076466850243,6.94099464591268,7.154213036565977,7.241262492236464,6.586594343277799,5.756467560612218
Campania,10.321556173084558,13.809772667886072,12.473253618628068,15.640901381148534,15.006453126833275,17.283372365339577,16.4237231556693,16.205533596837945
Basilicata,53.100775193798455,47.21030042918455,45.45454545454545,43.89312977099237,56.372549019607845,37.56613756613756,57.92682926829268,49.68944099378882
Liguria,24.175538821085432,26.44217499309964,28.929384965831435,25.35564853556485,29.66101694915254,28.999999999999996,24.00662251655629,22.36668135742618
Umbria,24.850657108721624,27.708703374777976,23.93096836049856,25.090470446320868,25.19764848976282,23.774876952707043,18.007202881152462,13.33141789972705
Valle d'Aosta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toscana,13.096776045703788,13.149588546950739,12.714191564147628,12.505724830949111,12.831608654750706,12.897469175859833,12.75284661754856,11.811544289847086
Marche,22.146900092141635,21.34975622273544,20.610876583064318,18.229459105371514,20.190597204574335,22.75508190250641,21.27227463312369,22.39168110918544
Emilia-Romagna,6.301493074293937,6.08122179798681,5.792405732894715,5.3392658509454956,5.076032174679048,4.865431570815688,4.585192487288575,4.366683819745645
Puglia,27.64017887856897,33.8706788464983,33.37491090520314,33.3392539964476,33.36294190797655,33.040112596762846,32.44532149317546,31.0795902285264
Sardegna,16.78117048346056,16.957928802589,14.83111168629481,15.511947670537978,15.887474882786337,15.559050989644776,14.848562628336756,11.516709511568124
